Company,DayNumber,SortOrder,Question,Option A,Option B,Option C,Option D,Correct,Explanation
Steel Warehouse,1,1,What does CPS stand for in Invex ERP?,Company Part Standards,Customer Part Specification,Customer Processing Schedule,Contract Part Setup,B,
Steel Warehouse,1,2,What does PPS define in Invex?,The finished product specs for a customer order,Payment processing steps,Incoming raw material specifications from suppliers,Production planning sequences,C,
Steel Warehouse,1,3,"How many order types are supported in Invex, as covered on Day 1?",3,4,5,7,C,
Steel Warehouse,1,4,"Which order type is used for a one-time, non-contract sale?",Blanket Sales Order,Source Customer Production Order,Release to Pick,Regular Sales Order,D,
Steel Warehouse,1,5,A Blanket Sales Order is best used when:,A customer needs a single large shipment delivered immediately,A customer has a long-term contract with shipments released over time,A customer's coil needs toll processing,A customer requires same-day shipping,B,
Steel Warehouse,1,6,"What is a ""Job Set/IP"" in Invex?",A group of all open invoices for a customer,"All processing steps needed to fulfill an order, planned backwards from the due date",A set of purchase orders for a single vendor,A scheduling block for one work center,B,
Steel Warehouse,1,7,Which order type pre-produces inventory ahead of demand for a blanket order?,Regular Sales Order,Release to Produce,Source Customer Production Order,Release to Pick,C,
Steel Warehouse,1,8,A blanket order customer calls for a shipment and inventory already exists on the floor. Which order type is created?,Release to Produce,Blanket Sales Order,Source Customer Production Order,Release to Pick,D,
Steel Warehouse,1,9,A customer releases against a blanket order but no floor stock is available. Which order type is created?,Release to Pick,Regular Sales Order,Release to Produce,Source Customer Production Order,C,
Steel Warehouse,1,10,What is the correct high-level order fulfillment sequence in Invex?,Production → Sales Order → Purchasing → Receiving → Shipping → Invoicing,Sales Order → Purchasing/PO → Receiving → Production → Shipping → Invoicing,Purchasing → Receiving → Sales Order → Production → Invoicing → Shipping,Sales Order → Invoicing → Purchasing → Receiving → Production → Shipping,B,
Steel Warehouse,2,1,What is the first step in the Spot Sale process in Invex?,Creating a Sales Order,Creating a Purchase Order,Creating a Quote,Configuring a CPS,C,
Steel Warehouse,2,2,A customer sends a PO but only some quote lines are awarded. What must be done with non-awarded lines?,Delete them permanently,Convert them to a blanket order,"Assign a disposition code such as ""Lost — Price""",Move them to a back-order queue,C,
Steel Warehouse,2,3,"After quote lines are awarded, what is the next step in the Spot Sale workflow?",Schedule production immediately,Create the CPS,Convert the awarded lines to a Sales Order,Create a Purchase Order,C,
Steel Warehouse,2,4,A CPS in a Spot Sale primarily defines:,The vendor's material certification requirements,"Finished product specifications for the customer, including special processing instructions",The transport route and carrier selection,Invoice payment terms,B,
Steel Warehouse,2,5,"In the Triple S Steel scenario, one of three quote lines is lost on price. What happens next?",The entire quote must be re-created,The two awarded lines convert to a Sales Order; the lost line is dispositioned,All three lines must be awarded or the quote is voided,The lost line becomes a back order and all three stay open,B,
Steel Warehouse,2,6,Which department creates the Purchase Order to source raw material after a Sales Order is created?,Sales,Production Planning,Purchasing,Shipping,C,
Steel Warehouse,2,7,Which special processing flag applies to material requiring surface blast treatment?,Level & Shear,Slit & Level,Blast,Level & Temper,C,
Steel Warehouse,2,8,Which special processing flag applies to material that needs to be cut into narrower strips?,Blast,Level & Shear,Level & Temper,Slit & Level,D,
Steel Warehouse,2,9,Which department handles the final step in the Spot Sale workflow — after material ships?,Purchasing,Production Planning,Receiving,Sales — Invoicing,D,
Steel Warehouse,2,10,What is the correct order of steps in a Spot Sale after the Sales Order is created?,Invoice → Receiving → Purchasing → Production → Shipping,Purchasing → Receiving → Production → Shipping → Invoice,Production → Purchasing → Receiving → Shipping → Invoice,Receiving → Purchasing → Shipping → Production → Invoice,B,
Steel Warehouse,3,1,What is the key difference between a Source Customer Production Order and a Release to Produce?,They are interchangeable — there is no difference,Source orders pre-produce inventory ahead of demand; Release to Produce is triggered on-demand when no floor stock exists,Release to Produce is only used for toll processing,Source orders require a separate PPS; Release to Produce does not,B,
Steel Warehouse,3,2,"In the Kubota Beginner scenario, which production route is used to process the material?",Level/Blast,Slit/Level,Level/Shear,Level/Temper,D,
Steel Warehouse,3,3,"A customer releases 45,000 lbs against their blanket order and source order inventory is already on the floor. Which order type is created?",Release to Produce,Regular Sales Order,Release to Pick,Source Customer Production Order,C,
Steel Warehouse,3,4,A customer releases against their blanket order but no floor stock exists. Which order type should be created?,Release to Pick,Regular Sales Order,Release to Produce,Source Customer Production Order,C,
Steel Warehouse,3,5,"In the Interstate Sheet scenario, the customer has a blanket order but no source order inventory exists. Which order type fulfills the releases?",Release to Pick,Source Customer Production Order,Release to Produce,Regular Sales Order,C,
Steel Warehouse,3,6,Which statement best describes a Blanket Sales Order?,A one-time order for a single large shipment,"A long-term contract holding total contracted quantity, from which releases are issued over time",A pre-production order that builds floor stock,A toll processing order for customer-owned material,B,
Steel Warehouse,3,7,"In the Advanced Kubota scenario, a coil is split: 45k# to a source order and 25k# to floor stock. The floor stock pieces would be released via:",A new Regular Sales Order,Release to Produce,Release to Pick,A Toll Production Order,C,
Steel Warehouse,3,8,What does the Production Planning step in the Contract Sale workflow involve?,Invoicing the customer,Creating the original blanket order,Creating job sets and IPs to schedule the production steps for the release,Receiving the raw coil from the vendor,C,
Steel Warehouse,3,9,Which production route applies to a finished product that has been leveled and then surface-blasted?,Level/Temper,Slit/Level,Level/Shear,Level/Blast,D,
Steel Warehouse,3,10,"After production is complete and finished goods are tagged, which department initiates shipment for a Release to Pick order?",Purchasing,Job Scheduling,Production Recording,Shipping / Transport,D,
Steel Warehouse,4,1,What is the fundamental characteristic of all toll processing orders in Invex?,Steel Warehouse owns the material and invoices for both material and processing,The customer owns the coil; Steel Warehouse invoices for processing charges only,Toll orders are only available for contracted blanket customers,The coil is purchased by Steel Warehouse then resold at a premium,B,
Steel Warehouse,4,2,What is the first step when a customer-owned coil arrives for toll processing?,Create the toll production order,Schedule the work center lineup,Create a pre-receipt for the incoming coil,Invoice the customer for processing,C,
Steel Warehouse,4,3,What distinguishes Non-Specific Toll from Specific Toll?,Non-specific is for lighter coils; specific is for heavier coils,Non-specific is an ad hoc one-off processing job; specific is tied to an ongoing blanket framework agreement,Specific toll requires CPS creation; non-specific does not,Non-specific toll invoices for material; specific toll invoices for processing only,B,
Steel Warehouse,4,4,"In the Vision Metals scenario, the coil weighs 48,440 lbs and the processing rate is $3.00/CWT. What is the invoice total?","$1,200.00","$1,453.20","$1,570.50","$2,422.00",B,
Steel Warehouse,4,5,"For the Vision Metals scenario, what is the acceptable length tolerance for finished pieces?","±1/4"" on both ends","±0/+0.50""","±1/2"" on both ends",No length tolerance specified,B,
Steel Warehouse,4,6,"In the Valmont scenario, what links the pre-receipt to the correct Invex order?",The heat number stamped on the coil,The coil weight at arrival,The Valmont blanket framework (toll blanket) order,The customer phone number on file,C,
Steel Warehouse,4,7,"In a toll production order, what drives the cut instructions and piece count targets?",A CPS created by the sales team,The customer's purchase order or separate processing instructions provided with the coil,The Job Scheduling team's work center preferences,The system's default cutting rules for the material grade,B,
Steel Warehouse,4,8,"When invoicing a completed toll order, which statement is correct?",Invoice for full material value plus processing charges,Invoice for processing charges only — do not include material cost,Invoice for material cost only; processing is at no charge,No invoice is generated for toll orders,B,
Steel Warehouse,4,9,Which situation is a common unhappy path specific to toll processing?,A customer requests a lower price after a spot quote is awarded,A source order runs short of inventory ahead of a release,The customer-owned coil arrives with a weight or dimension discrepancy vs. the pre-receipt,A blanket order release is submitted with the wrong cut length,C,
Steel Warehouse,4,10,"In the Valmont Specific Toll scenario, what is the total number of finished pieces included in the invoice?",3,8,10,14,D,
Steel Warehouse,5,1,What is the difference between raw inventory and finished goods inventory in Invex?,Raw inventory is on order from a vendor; finished goods have already been invoiced,"Raw inventory is unprocessed coil stock; finished goods are processed, tagged material available to ship",Raw inventory belongs to toll customers; finished goods are owned by Steel Warehouse,There is no difference — they refer to the same pool,B,
Steel Warehouse,5,2,"When tracing an order in Invex, which field directly indicates whether it is profitable?",Raw tag number,Finished goods tag number,Profit margin %,Transport carrier name,C,
Steel Warehouse,5,3,A forecast is reduced below the committed quantity on an open source order. What is the expected system impact?,Nothing — forecasts do not affect open source orders,The source order is automatically cancelled,The system flags a conflict; the planning team must review open source orders and releases to determine needed adjustments,The release to pick is automatically converted to a release to produce,C,
Steel Warehouse,5,4,"During Day 5 Unhappy Path Practice, which filter finds scenarios involving shipping exceptions?",Forecast,CPS,Transport/Ship,EDI,C,
Steel Warehouse,5,5,Raw inventory for a product shows zero quantity in the system. What should you do?,Assume the product has been discontinued,Immediately create a purchase requisition without asking,Note the zero and discuss with the facilitator to understand why it may be zero,Delete the product record from the item master,C,
Steel Warehouse,5,6,How many total unhappy path scenarios are available in the Day 5 exercise library?,47,100,150,212,D,
Steel Warehouse,5,7,"In the Order Status Inquiry exercise, which field helps trace where the raw material came from?",Selling price,Profit margin %,Raw tag #,Transport carrier,C,
Steel Warehouse,5,8,You increased committed quantities in a blanket forecast. Which area should you check first to observe the downstream impact?,Invoice history,Purchasing plan or production schedule,Transport route assignments,User preference settings,B,
Steel Warehouse,5,9,What is the primary purpose of exception reports reviewed in the Day 5 Reporting exercise?,Track the facilitator's training progress only,Identify operational exceptions requiring action and measure performance metrics,Record the complete history of user logins,Display only invoiced shipments from the prior month,B,
Steel Warehouse,5,10,Which statement best describes the purpose of Day 5 in the Invex training program?,Introduce new order types not covered in Days 1–4,Complete remaining system configuration for all departments,"Provide hands-on practice, synthesis, and reinforcement of the end-to-end processes from Days 1–4",Train the IT team on system administration tasks,C,
