Term,Definition,Category
"A.S.T.M.","American Society for Testing Materials — the standards body that defines steel specifications (e.g., A36, A572, A656). When a PO references an ASTM grade, the material must meet those published mechanical and chemical property requirements.","Steel & Grades"
"A/R (Accounts Receivable)","Money owed by customers for goods or services already delivered. Tracked in the ERP system and tied to outstanding invoices.","Order Mgmt"
"Accessorial Charges","Extra charges beyond base freight — examples include detention (driver waiting time at a customer dock), fuel surcharges, liftgate fees, and inside delivery charges.","Logistics"
"Annealing","Process of heating and then slowly cooling Hot Rolled and/or Cold Rolled Steel to induce softening of the material. Improves ductility and reduces internal stresses.","Processing"
"AQP (Advance Quality Planning)","Document containing all pertinent information for a specific customer part — essentially the blueprint. Includes size, steel grade, packaging requirements, cost, and processing requirements.","Order Mgmt"
"AR Steel (Abrasion-Resistant)","Abrasion-Resistant Steel — a high-hardness steel grade engineered to withstand wear and impact. Used where surfaces are subject to heavy abrasion (e.g., dump truck beds, mining equipment).","Steel & Grades"
"Available Inventory","Material in inventory that is not reserved or allocated to any existing order — freely available for new sales orders.","Order Mgmt"
"Backlog","Open customer orders that have not yet been produced or shipped. A measure of future workload and capacity demand.","Order Mgmt"
"Bad Slit Edge (Defect #209)","A defect when a strip is cut and the proper nick and break is not achieved — resulting in a rough or irregular edge. Caused by dull knives, improper arbor setting, poor back tension, over-arm separator issues, or other slitter mechanical errors.","Defects & QC"
"Blanket Order","A long-term purchase agreement establishing price, grade, and volume over a period (often a year). Individual shipments are called releases. A blanket framework must exist in Invex before release lines can be entered.","Order Mgmt"
"Blisters","A steel-making imperfection produced by gas bubbles — caused by expansion of gas concentrated at a surface inclusion. Appears as small raised areas on the steel surface, either isolated or in longitudinal streaks.","Defects & QC"
"BOL / Bill of Lading","Shipping document issued by the carrier confirming receipt of goods for transport. Serves as a contract between shipper and carrier and is the primary record of material movement. Required content (PO#, bundle weights, etc.) varies by customer.","Logistics"
"Broker","A third party who arranges transportation between a shipper and a carrier. Does not own trucks — matches loads to available carrier capacity. SWC may use brokers for outbound freight.","Logistics"
"Buckles (Defect #703)","Also called center buckle or full center. A flatness defect caused by uneven cooling or poor rolling practice at the mill. Because it is mill-caused, it is claimable against the supplier.","Defects & QC"
"Burrs (Defect #0206 / #0209)","A very subtle ridge on the steel edge left by cutting operations (slitting, trimming, or blanking). Caused by improper clearance at slitters or bad knives, or by improper clearance or a dull shear blade at levelers and shears.","Defects & QC"
"Camber (Defect #0705)","The deviation of a strip edge from a straight line. Standard camber tolerance is 0.250"" per 8 feet. Causes include improper slitter alignment, steering issues, or taking too many cuts on the slitter.","Defects & QC"
"Capacity","Available machine time or processing throughput on a production line or work center. Capacity constraints affect lead times and production scheduling.","Order Mgmt"
"Carrier","The company that physically transports material — trucking companies, railroads, etc. Distinct from a broker, who arranges transport but does not haul.","Logistics"
"CC (Charge & Cost)","Used to designate the components of a selling price or costs on a sales order and the purchase price. E.g.: Metal, Freight, Slitting, Packaging.","Order Mgmt"
"Charge vs Cost","Charge is the revenue on a sales order; cost represents the actual expenses — including inventory, processing, and freight.","Order Mgmt"
"Chatter (Defect #0209)","Transverse lines alternately shiny and dull on the surface of slit material. Result of slitting knives slipping, skipping, or poor tension practice during slitting.","Defects & QC"
"COA / Certificate of Analysis","Document provided by the mill verifying that the steel meets specified mechanical properties and chemical composition. Required by many customers — must accompany or precede shipment.","Order Mgmt"
"COGS (Cost of Goods Sold)","Total cost to produce the goods sold in a given period — includes raw material cost, direct labor, and processing overhead. Used in calculating gross margin.","Order Mgmt"
"Coil","Large rolled steel wound into a cylindrical roll — the primary form in which flat rolled steel is purchased from the mill. SWC processes coils by slitting, leveling, CTL, temper passing, or blast.","Steel & Grades"
"Coil Breaks (Defect #0233)","Creases or ridges appearing as parallel lines transverse to the rolling direction. Generally extend across the full sheet width. Can result from improper leveling.","Defects & QC"
"Coil Set","A flatness deviation where the entire sheet width arches smoothly — following the curvature it had while wound in the coil. Produced when leveling (flattening) is incomplete.","Defects & QC"
"Cold Rolled Steel (CR)","Flat rolled steel where final thickness was achieved by rolling hot rolled bands at approximately room temperature — without reheating. Produces tighter tolerances and smoother surface than hot rolled.","Steel & Grades"
"Commercial Invoice","Export document required for international shipments — details the goods, quantities, declared values, buyer/seller information, and country of origin. Required alongside a USMCA Certificate of Origin for exports to Mexico.","Logistics"
"Commercial Quality Steel (CQ)","Steel suitable for simple bending or moderate drawing. CQ steel can be bent 180° to lay flat upon itself in any direction at room temperature.","Steel & Grades"
"Contract Sale","An ongoing customer agreement with pre-negotiated pricing and/or volume commitments. May be a blanket order (with releases) or a standing contract for repeat orders at agreed terms.","Order Mgmt"
"Cost/cwt","Cost per hundredweight (per 100 lbs) — the standard unit used by Steel Warehouse for buying and selling steel. To convert: cost per lb × 100 = cost per cwt. Example: $0.10/lb = $10.00/cwt.","Order Mgmt"
"CPS (Customer Part Specification)","Defines finished goods requirements for a specific customer order — exact size, grade, tolerances, and processing requirements.","Order Mgmt"
"CR (Cold Rolled)","Abbreviation for Cold Rolled Steel — processed at room temperature for tighter dimensional tolerances and improved surface finish. See Cold Rolled Steel.","Steel & Grades"
"Cracked Edges (Defect #221)","Ragged edges or visible cracks on the edge of slit or sheared material. See also Ragged Edges.","Defects & QC"
"Cracks (Defect #0221)","Edge cracks on plate or sheet, sometimes caused by low magnesium in the steel, overheated ingot or slab edges, or burnt edge conditions. Can also result from improper handling or poor slitting practice.","Defects & QC"
"Creases (Defect #0219)","Occur from crowding of metal causing overlap or build-up in the rolling direction or diagonally. Heavy creases can cause splits and are described as open creases.","Defects & QC"
"Credit / Rebill","Correction process for invoice pricing errors. A credit memo cancels or reduces an incorrect invoice; a rebill issues the corrected charge. Both require documentation and approval.","Order Mgmt"
"Cross Bow (Defect #0714)","Flatness deviation in the transverse direction — sometimes called ""canoeing"" when edges are higher than the center. Measured perpendicular to the rolling direction.","Defects & QC"
"Cross Breaks (Defect #0232)","Kinking or breaking of a sheet caused by wrapping on too small a diameter. Also known as fluting or paneling. Can be prevented by temper rolling before bending.","Defects & QC"
"Crown","A condition where the center of the coil is thicker than the edges. Present on all coils to some degree — a normal characteristic of the rolling process.","Defects & QC"
"CTL (Cut-to-Length)","Processing operation that uncoils steel and cuts it into flat sheets of a specified length. One of the primary services performed by Steel Warehouse.","Processing"
"Cut Tolerance","The acceptable dimensional variation allowed on cut steel. For example, a length tolerance of -0/+¼"" means no undercut is acceptable but a slight over-length is fine.","Order Mgmt"
"Dimples","Repetitive impressions in the sheet surface — concave on one side and convex on the other. Result from foreign matter on a roll being pressed into the surface during processing.","Defects & QC"
"Double Break","A double fracture of material caused by slitting knives set too close together. Visible as a parallel double crease or break line.","Defects & QC"
"DQ (Drawing Quality)","Steel with greater ductility and more consistent performance than CQ. Produced to higher standards — used for applications requiring moderate-to-deep drawing.","Steel & Grades"
"DQSK (Drawing Quality Special Killed)","Drawing Quality steel killed (de-oxidized, typically with aluminum) to prevent aging and increase formability. Used when DQ does not provide sufficient ductility or freedom from aging is required.","Steel & Grades"
"DSO (Days Sales Outstanding)","Average number of days to collect payment after a sale. A key A/R performance metric — lower DSO means faster cash collection.","Order Mgmt"
"Ductility / Formability","The ability of steel to change shape without fracturing. In steel, ductility is typically measured by elongation percentage, yield strength, and tensile strength.","Steel & Grades"
"EBITDA","Earnings Before Interest, Taxes, Depreciation, and Amortization — a measure of core operational profitability before financing costs and non-cash accounting adjustments.","Order Mgmt"
"Edge Breaks (Defect #0204)","Short creases extending inward from the side edge of temper-rolled sheet — found where extreme edges are substantially thinner and not adequately worked during temper rolling.","Defects & QC"
"Edge Buckle","Similar to center buckle, but occurs in one or both edges of the strip, generally confined to a narrow portion near the edge.","Defects & QC"
"Edges (Mill vs Cut)","Mill edge: produced in hot rolling — does not conform to a defined contour, wider width tolerance. Cut edge: produced by shearing, slitting, or trimming — tighter width tolerance and cleaner edge. Cold rolled is typically furnished cut edge; hot rolled can be either.","Steel & Grades"
"EF (Extended Finish)","An additional field — besides form, grade, size, and finish — available when defining a product. There is no Inventory Forecasting functionality by EF. E.g., the product may be defined with a finish of painted and the EF may be the paint color.","Order Mgmt"
"Elongation","The amount of extension a test sample undergoes before fracturing during tensile testing — expressed as a percentage of the original gauge length. A direct measure of ductility.","Steel & Grades"
"EP (Enterprise Parameters)","All the reference tables required to create the STRATIX database.","Order Mgmt"
"ERP (Enterprise Resource Planning)","Integrated software system managing business processes including sales orders, purchasing, inventory, production, and shipping. Invex is the ERP system used by Steel Warehouse.","Order Mgmt"
"ETA (Estimated Time of Arrival)","Expected delivery or pickup time for an inbound or outbound shipment.","Logistics"
"EXO (Execution Option)","Switches added to programs to make them behave differently based on site requirements. Also used to provide default values in certain applications.","Order Mgmt"
"FG (Finished Goods)","Completed, processed material ready for shipment to a customer. Distinct from WIP (Work in Process) or RM (Raw Material).","Order Mgmt"
"Fillout","Remaining coil weight after the primary order quantity has been processed. The fillout may return to inventory or be offered to another customer.","Order Mgmt"
"FINREPS (Financial Reporting)","The STRATIX Financial Reporting package for the General Ledger.","Order Mgmt"
"Fish Tail","A defect where the area near the edge of a partially reduced slab elongates more than the center — resulting in a U-shaped tail end. Seen on all hot roll coils to some degree.","Defects & QC"
"Flatness (Defect #0700)","A measure of a cut-to-length sheet's ability to conform to a flat horizontal surface. Maximum deviation from the surface is the degree to which the sheet is out of flat. Customers often specify flatness requirements (e.g., max 0.375"" in any 3' span).","Defects & QC"
"Folds (Defect #1503 / #1603)","Occur when a sheet is pinched and bent over on itself. Transverse to the rolling direction. Occur during subsequent processing operations, not at the mill.","Defects & QC"
"Freight","The cost of transportation for a shipment. May be prepaid by SWC (built into price) or collect (customer arranges and pays directly), depending on the freight terms stated on the PO.","Logistics"
"Friction Gouges (Defect #202)","Teardrop-shaped marks from excessive changes in coil tension causing laps to slide over one another. Caused by bands breaking, loosely wrapped coils, or more likely on pickle-dry material.","Defects & QC"
"GA / Galvanized","Galvanized steel — steel coated with zinc to prevent corrosion, applied by hot-dipping in molten zinc.","Steel & Grades"
"GALV (Galvanized Steel)","Abbreviation for galvanized steel. See GA / Galvanized.","Steel & Grades"
"Gauge","The thickness of steel — typically expressed in decimal inches (e.g., .250"") or gauge numbers for thinner cold rolled products.","Steel & Grades"
"Gouge (Defect #0220)","A surface scratch or gouge recognizable by its origin — if it occurred in the hot strip mill, rust will have formed at the base; if at the finishing end, the base appears bright.","Defects & QC"
"Hardness Tests","Hardness measures a material's resistance to permanent deformation. At Steel Warehouse, the primary method is Rockwell Testing — the Rockwell B scale is most commonly used for hot rolled steel.","Steel & Grades"
"Healed-Over Scratch","A surface marking that occurred during mill operations but was subsequently partially removed during later rolling operations. May still be visible as a faint line.","Defects & QC"
"Heat Number","A unique identifier assigned to a specific batch (heat) of steel produced at the mill. Used for traceability — links finished product back to the original mill heat and its test report/cert.","Order Mgmt"
"Heat Pattern","A light pattern of red oxide on the steel surface, usually heavier on the topside. A form of rolled-in scale caused by the steel being too hot after passing through mill hydraulic sprays. Cannot be removed as it is rolled into the surface.","Defects & QC"
"HR (Hot Rolled)","Hot Rolled Steel — processed at high temperatures (above the recrystallization temperature). Has a scaled, rougher surface and looser tolerances than cold rolled, but is generally less expensive.","Steel & Grades"
"HRPO (Hot Rolled Pickled and Oiled)","Hot rolled steel that has had its mill scale removed by pickling (acid bath) and then oiled for surface protection. Better surface quality than standard HR; used where a cleaner surface is needed without full cold rolling.","Steel & Grades"
"HSLA / High Strength Steel","High Strength Low Alloy steel — achieves increased mechanical properties and atmospheric corrosion resistance through small amounts of alloying elements. Includes grades like A572, A656, and NuStrength Gr100. Handle carefully — no flame cutting or torch straightening.","Steel & Grades"
"IAJ (Inventory Adjustment)","The application used to adjust products in STRATIX. Adjustments may have financial implications or may involve changing specifications of the material. When financial implications exist, the posting goes to an adjustment account.","Order Mgmt"
"Inclusions (Defect #0303)","Particles of non-metallic material (usually rust, sulfides, silicates, or dirt) entrapped mechanically or formed during solidification or subsequent reaction within the solid steel.","Defects & QC"
"Inventory Type","Categorizes inventory into specific types defined by STRATIX: Master, Drop, Finished Good, WIP, Reject, and Scrap. Serves many purposes from costing to reporting.","Order Mgmt"
"Invoice","Bill sent to the customer requesting payment. For toll orders, the invoice covers processing fee only — no material charge, since the customer owns the steel.","Order Mgmt"
"Invoice Entry","After a Transport is updated, STRATIX automatically creates an invoice in edit stage. It is reviewed and finalized using the Invoice Entry function.","Order Mgmt"
"IRC (Inventory Reconciliation Cost)","Accrual costs based on material receipts, inbound and outbound common carrier freight, and outside processing. When bills are vouchered, they are matched against the associated IRC and cleared.","Order Mgmt"
"JIT (Just-in-Time)","Supply chain strategy where delivery is timed as closely as possible to when the customer needs the material — minimizing their inventory holding. Requires reliable lead times.","Logistics"
"JS (Job Set)","A set of processes that, when combined, produce a finished product. Examples: Pick, Slit, Package, Saw, Drill, Burn, Paint at an Outside Processor.","Processing"
"Killed Steel","Steel de-oxidized by silicon or aluminum to minimize oxygen content, preventing reaction during solidification. Has more uniform properties and chemical composition. See also DQSK.","Steel & Grades"
"KPI (Key Performance Indicator)","A quantifiable metric used to evaluate performance against a goal. Examples in steel operations: on-time delivery %, DSO, yield %, machine utilization.","Order Mgmt"
"Laminations","Internal imperfections resulting from blisters, seams, or foreign inclusions — sometimes visible on the surface. Related to Slivers. Can cause issues in cutting, welding, or forming.","Defects & QC"
"Laser Burn","Process of cutting steel to a specified size using a high-powered laser. Achieves tighter tolerance than slitting or leveling — typically ±0.005"". Used for precision parts.","Processing"
"Lead Time","Time elapsed from placement of an order to receipt or delivery. Includes mill lead time (purchased material) or in-house processing time (service center orders).","Order Mgmt"
"Leveling","Running coiled steel through a multi-roll leveler to produce flat sheet. The rolls flex and stretch the steel to remove coil set and other flatness defects.","Processing"
